idx,image_key,question_type,question,vector,p_Ref,p_Know,p_Reason,p_Decide,y_Ref,y_Know,y_Reason,y_Decide,active_experts,n_images
269,DS-MVTec/bottle/image/contamination/020.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
270,DS-MVTec/bottle/image/contamination/020.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
271,DS-MVTec/bottle/image/contamination/020.png,Defect Analysis,There is a defect in the object. What does the defect suggest?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
272,DS-MVTec/bottle/image/good/000.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
273,DS-MVTec/bottle/image/good/001.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
274,DS-MVTec/bottle/image/good/002.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
275,DS-MVTec/bottle/image/good/003.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
276,DS-MVTec/bottle/image/good/004.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
277,DS-MVTec/bottle/image/good/005.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
278,DS-MVTec/bottle/image/good/006.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
279,DS-MVTec/bottle/image/good/007.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
280,DS-MVTec/bottle/image/good/008.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
281,DS-MVTec/bottle/image/good/009.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
282,DS-MVTec/bottle/image/good/010.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
283,DS-MVTec/bottle/image/good/011.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
284,DS-MVTec/bottle/image/good/012.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
285,DS-MVTec/bottle/image/good/013.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
286,DS-MVTec/bottle/image/good/014.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
287,DS-MVTec/bottle/image/good/015.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
288,DS-MVTec/bottle/image/good/016.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
289,DS-MVTec/bottle/image/good/017.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
290,DS-MVTec/bottle/image/good/018.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
291,DS-MVTec/bottle/image/good/019.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
292,DS-MVTec/cable/image/bent_wire/000.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
293,DS-MVTec/cable/image/bent_wire/000.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
294,DS-MVTec/cable/image/bent_wire/000.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
295,DS-MVTec/cable/image/bent_wire/000.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
296,DS-MVTec/cable/image/bent_wire/000.png,Defect Analysis,There is a defect in the object. What could be the effect of the defect?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
297,DS-MVTec/cable/image/bent_wire/001.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
298,DS-MVTec/cable/image/bent_wire/001.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
299,DS-MVTec/cable/image/bent_wire/001.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
300,DS-MVTec/cable/image/bent_wire/001.png,Defect Analysis,There is a defect in the object. What is the effect of the defect on the object?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
301,DS-MVTec/cable/image/bent_wire/002.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
302,DS-MVTec/cable/image/bent_wire/002.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
303,DS-MVTec/cable/image/bent_wire/002.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
304,DS-MVTec/cable/image/bent_wire/002.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
305,DS-MVTec/cable/image/bent_wire/002.png,Defect Analysis,There is a defect in the object. What potential effect could the defect have?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
306,DS-MVTec/cable/image/bent_wire/003.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
307,DS-MVTec/cable/image/bent_wire/003.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
308,DS-MVTec/cable/image/bent_wire/003.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
309,DS-MVTec/cable/image/bent_wire/003.png,Defect Analysis,There is a defect in the object. What additional information is provided about another defect in the cable?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
310,DS-MVTec/cable/image/bent_wire/004.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
311,DS-MVTec/cable/image/bent_wire/004.png,Defect Localization,There is a defect in the object. Where is the defect located?,0001,,,,,0,0,0,1,Decision Maker,1
312,DS-MVTec/cable/image/bent_wire/004.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
313,DS-MVTec/cable/image/bent_wire/004.png,Defect Analysis,There is a defect in the object. What is the potential effect of the defect?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
314,DS-MVTec/cable/image/bent_wire/005.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
315,DS-MVTec/cable/image/bent_wire/005.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
316,DS-MVTec/cable/image/bent_wire/005.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
317,DS-MVTec/cable/image/bent_wire/005.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
318,DS-MVTec/cable/image/bent_wire/005.png,Defect Analysis,There is a defect in the object. What is the effect of the defect?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
319,DS-MVTec/cable/image/bent_wire/006.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
320,DS-MVTec/cable/image/bent_wire/006.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
321,DS-MVTec/cable/image/bent_wire/006.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
322,DS-MVTec/cable/image/bent_wire/006.png,Defect Analysis,There is a defect in the object. What is the effect of the defect?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
323,DS-MVTec/cable/image/bent_wire/007.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
324,DS-MVTec/cable/image/bent_wire/007.png,Defect Classification,There are some defects in the object. How many types of defects are present in the cable?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
325,DS-MVTec/cable/image/bent_wire/007.png,Defect Localization,There are some defects in the object. Where are the defects located within the cable?,0001,,,,,0,0,0,1,Decision Maker,1
326,DS-MVTec/cable/image/bent_wire/007.png,Defect Description,There are some defects in the object. What is the appearance of the defects?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
327,DS-MVTec/cable/image/bent_wire/008.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
328,DS-MVTec/cable/image/bent_wire/008.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
329,DS-MVTec/cable/image/bent_wire/008.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
330,DS-MVTec/cable/image/bent_wire/008.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
331,DS-MVTec/cable/image/bent_wire/008.png,Defect Analysis,There is a defect in the object. How does the defect affect the cable?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
332,DS-MVTec/cable/image/bent_wire/009.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
333,DS-MVTec/cable/image/bent_wire/009.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
334,DS-MVTec/cable/image/bent_wire/009.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
335,DS-MVTec/cable/image/bent_wire/009.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
336,DS-MVTec/cable/image/bent_wire/009.png,Defect Analysis,There is a defect in the object. Within which section of insulation is the defect present?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
337,DS-MVTec/cable/image/bent_wire/010.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
338,DS-MVTec/cable/image/bent_wire/010.png,Defect Localization,There is a defect in the object. Where is the primary defect located?,0001,,,,,0,0,0,1,Decision Maker,1
339,DS-MVTec/cable/image/bent_wire/010.png,Defect Description,There is a defect in the object. What is the appearance of the primary defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
340,DS-MVTec/cable/image/bent_wire/010.png,Defect Analysis,There is a defect in the object. What is the effect of the secondary defect on the cable's functionality?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
341,DS-MVTec/cable/image/bent_wire/011.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
342,DS-MVTec/cable/image/bent_wire/011.png,Defect Classification,There are some defects in the object. How many types of defects are present in the cable?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
343,DS-MVTec/cable/image/bent_wire/011.png,Defect Description,There are some defects in the object. What is the appearance of the defects?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
344,DS-MVTec/cable/image/bent_wire/011.png,Defect Analysis,There are some defects in the object. What is the likely effect of these defects on the cable's performance?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
345,DS-MVTec/cable/image/bent_wire/012.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
346,DS-MVTec/cable/image/bent_wire/012.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
347,DS-MVTec/cable/image/bent_wire/012.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
348,DS-MVTec/cable/image/bent_wire/012.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
349,DS-MVTec/cable/image/bent_wire/012.png,Defect Analysis,There is a defect in the object. What is the effect of the defect?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
350,DS-MVTec/cable/image/cable_swap/000.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
351,DS-MVTec/cable/image/cable_swap/000.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
352,DS-MVTec/cable/image/cable_swap/000.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
353,DS-MVTec/cable/image/cable_swap/000.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
354,DS-MVTec/cable/image/cable_swap/000.png,Defect Analysis,There is a defect in the object. What is the effect of the defect?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
355,DS-MVTec/cable/image/cable_swap/001.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
356,DS-MVTec/cable/image/cable_swap/001.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
357,DS-MVTec/cable/image/cable_swap/001.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
358,DS-MVTec/cable/image/cable_swap/001.png,Defect Analysis,There is a defect in the object. Is there an additional defect?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
359,DS-MVTec/cable/image/cable_swap/002.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
360,DS-MVTec/cable/image/cable_swap/002.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
361,DS-MVTec/cable/image/cable_swap/002.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
362,DS-MVTec/cable/image/cable_swap/002.png,Defect Analysis,There is a defect in the object. What is a potential effect of the defect?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
363,DS-MVTec/cable/image/cable_swap/003.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
364,DS-MVTec/cable/image/cable_swap/003.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
365,DS-MVTec/cable/image/cable_swap/003.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
366,DS-MVTec/cable/image/cable_swap/003.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
367,DS-MVTec/cable/image/cable_swap/003.png,Defect Analysis,There is a defect in the object. What is the effect of the defect?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
368,DS-MVTec/cable/image/cable_swap/004.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
369,DS-MVTec/cable/image/cable_swap/004.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
370,DS-MVTec/cable/image/cable_swap/004.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
371,DS-MVTec/cable/image/cable_swap/004.png,Defect Analysis,There is a defect in the object. What is the effect of the defect?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
372,DS-MVTec/cable/image/cable_swap/005.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
373,DS-MVTec/cable/image/cable_swap/005.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
374,DS-MVTec/cable/image/cable_swap/005.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
375,DS-MVTec/cable/image/cable_swap/005.png,Defect Analysis,There is a defect in the object. What additional detail is observed about the defect?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
376,DS-MVTec/cable/image/cable_swap/006.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
377,DS-MVTec/cable/image/cable_swap/006.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
378,DS-MVTec/cable/image/cable_swap/006.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
379,DS-MVTec/cable/image/cable_swap/006.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
380,DS-MVTec/cable/image/cable_swap/006.png,Defect Analysis,There is a defect in the object. What is the effect of the defect?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
381,DS-MVTec/cable/image/cable_swap/007.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
382,DS-MVTec/cable/image/cable_swap/007.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
383,DS-MVTec/cable/image/cable_swap/007.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
384,DS-MVTec/cable/image/cable_swap/008.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
385,DS-MVTec/cable/image/cable_swap/008.png,Defect Classification,There is a defect in the object. What is the type of defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
386,DS-MVTec/cable/image/cable_swap/008.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
387,DS-MVTec/cable/image/cable_swap/008.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
388,DS-MVTec/cable/image/cable_swap/008.png,Defect Analysis,There is a defect in the object. What additional information is provided about the defect?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
389,DS-MVTec/cable/image/cable_swap/009.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
390,DS-MVTec/cable/image/cable_swap/009.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
391,DS-MVTec/cable/image/cable_swap/009.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
392,DS-MVTec/cable/image/cable_swap/009.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
393,DS-MVTec/cable/image/cable_swap/009.png,Defect Analysis,There is a defect in the object. What is the potential effect of the defect?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
394,DS-MVTec/cable/image/cable_swap/010.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
395,DS-MVTec/cable/image/cable_swap/010.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
396,DS-MVTec/cable/image/cable_swap/010.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
397,DS-MVTec/cable/image/cable_swap/010.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
398,DS-MVTec/cable/image/cable_swap/010.png,Defect Analysis,There is a defect in the object. What could be the effect of the defect?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
399,DS-MVTec/cable/image/cable_swap/011.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
400,DS-MVTec/cable/image/cable_swap/011.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
401,DS-MVTec/cable/image/cable_swap/011.png,Defect Localization,There is a defect in the object. Where is the defect?,0001,,,,,0,0,0,1,Decision Maker,1
402,DS-MVTec/cable/image/cable_swap/011.png,Defect Analysis,"There is a defect in the object. What is the additional effect of the ""missing wire"" defect?",1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
403,DS-MVTec/cable/image/combined/000.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
404,DS-MVTec/cable/image/combined/000.png,Defect Localization,There are some defects in the object. Where are these defects located in the picture?,0001,,,,,0,0,0,1,Decision Maker,1
405,DS-MVTec/cable/image/combined/000.png,Defect Description,There are some defects in the object. What is the appearance of the defects?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
406,DS-MVTec/cable/image/combined/000.png,Defect Analysis,There are some defects in the object. What could be the potential effect of these defects?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
407,DS-MVTec/cable/image/combined/001.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
408,DS-MVTec/cable/image/combined/001.png,Defect Classification,There are some defects in the object. What are the types of the defects?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
409,DS-MVTec/cable/image/combined/001.png,Defect Localization,There are some defects in the object. Where are these defects located in the picture?,0001,,,,,0,0,0,1,Decision Maker,1
410,DS-MVTec/cable/image/combined/001.png,Defect Description,There are some defects in the object. What is the appearance of the defects?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
411,DS-MVTec/cable/image/combined/001.png,Defect Analysis,There are some defects in the object. What could be the effect of these defects?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
412,DS-MVTec/cable/image/combined/002.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
413,DS-MVTec/cable/image/combined/002.png,Defect Classification,There are some defects in the object. What are the types of the defects?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
414,DS-MVTec/cable/image/combined/002.png,Defect Localization,There are some defects in the object. Where are these defects in the picture?,0001,,,,,0,0,0,1,Decision Maker,1
415,DS-MVTec/cable/image/combined/002.png,Defect Description,There are some defects in the object. What is the appearance of the defects?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
416,DS-MVTec/cable/image/combined/002.png,Defect Analysis,There are some defects in the object. What could be the potential effect of these defects?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
417,DS-MVTec/cable/image/combined/003.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
418,DS-MVTec/cable/image/combined/003.png,Defect Classification,There are some defects in the object. What are the types of the defects?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
419,DS-MVTec/cable/image/combined/003.png,Defect Localization,There are some defects in the object. Where are these defects located in the picture?,0001,,,,,0,0,0,1,Decision Maker,1
420,DS-MVTec/cable/image/combined/003.png,Defect Description,There are some defects in the object. What is the appearance of the defect in the grounding conductor?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
421,DS-MVTec/cable/image/combined/003.png,Defect Analysis,There are some defects in the object. What could be the potential effect of these defects?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
422,DS-MVTec/cable/image/combined/004.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
423,DS-MVTec/cable/image/combined/004.png,Defect Classification,There is a defect in the object. What is the type of the defect?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
424,DS-MVTec/cable/image/combined/004.png,Defect Description,There is a defect in the object. What is the appearance of the defect?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
425,DS-MVTec/cable/image/combined/004.png,Defect Analysis,There are some defects in the object. What are the potential effects of these defects?,1011,,,,,1,0,1,1,Reference Extractor|Reasoning Expert|Decision Maker,2
426,DS-MVTec/cable/image/combined/005.png,Anomaly Detection,Is there any defect in the object?,1001,,,,,1,0,0,1,Reference Extractor|Decision Maker,2
427,DS-MVTec/cable/image/combined/005.png,Defect Classification,There are some defects in the object. What type of defects are present?,1101,,,,,1,1,0,1,Reference Extractor|Knowledge Guide|Decision Maker,2
428,DS-MVTec/cable/image/combined/005.png,Defect Description,There are some defects in the object. What is the appearance of the defects?,1111,,,,,1,1,1,1,Reference Extractor|Knowledge Guide|Reasoning Expert|Decision Maker,2
